N generations;Aire estimee;IC;RC(N) * ET;largeur IC;Temps [s];IC inf;IC sup
100000;601.027;[598.240,603.815];449.67;5.57417;0.023;598.24;603.815;
1000000;602.158;[601.275,603.042];450.713;1.7668;0.206;601.275;603.042;
10000000;601.97;[601.691,602.250];450.88;0.558917;1.861;601.691;602.25;
N generations;Aire estimee;IC;RC(N) * ET;largeur IC;Temps [s];IC inf;IC sup
100000;601.863;[601.370,602.356];79.5577;0.986208;0.027;601.37;602.356;
1000000;601.868;[601.713,602.023];79.206;0.310487;0.276;601.713;602.023;
10000000;601.938;[601.888,601.987];79.3176;0.0983231;2.684;601.888;601.987;
N generations;Aire estimee;IC;RC(N) * ET;largeur IC;Temps [s];IC inf;IC sup
100000;602.098;[601.549,602.648];88.6192;1.09854;0.021;601.549;602.648;
1000000;601.873;[601.698,602.048];89.1828;0.349597;0.211;601.698;602.048;
10000000;601.971;[601.916,602.026];88.9763;0.110296;2.105;601.916;602.026;
Largeur max IC;N generations;Aire estimee;IC;RC(N) * ET;largeur IC;Temps [s];IC inf;IC sup
1;3200000;602.042;[601.548,602.536];450.785;0.987827;0.574;601.548;602.536;
0.9;3900000;601.829;[601.381,602.276];450.745;0.894714;0.769;601.381;602.276;
0.8;4900000;602.143;[601.744,602.543];451.003;0.79867;0.917;601.744;602.543;
0.7;6400000;602.172;[601.823,602.522];450.939;0.698737;1.151;601.823;602.522;
0.6;8700000;601.788;[601.489,602.088];450.705;0.598989;1.542;601.489;602.088;
0.5;12500000;601.93;[601.680,602.180];450.746;0.499762;2.229;601.68;602.18;
0.4;19600000;601.953;[601.753,602.153];450.824;0.399177;3.488;601.753;602.153;
0.3;34800000;601.953;[601.803,602.102];450.847;0.299589;6.4;601.803;602.102;
