Largeur max IC;N generations;Aire estimee;IC;RC(N) * ET;largeur IC;Temps [s];IC inf;IC sup
1;3200000;602.04184;[601.548,602.536];450.78539;0.98783;0.547;601.548;602.536;
0.9;3900000;601.82862;[601.381,602.276];450.74452;0.89471;0.672;601.381;602.276;
0.8;4900000;602.14334;[601.744,602.543];451.00296;0.79867;0.813;601.744;602.543;
0.7;6400000;602.17229;[601.823,602.522];450.93911;0.69874;1.078;601.823;602.522;
0.6;8700000;601.78827;[601.489,602.088];450.70534;0.59899;1.453;601.489;602.088;
0.5;12500000;601.93014;[601.680,602.180];450.74608;0.49976;2.110;601.680;602.180;
0.4;19600000;601.95307;[601.753,602.153];450.82421;0.39918;3.266;601.753;602.153;
0.3;34800000;601.95265;[601.803,602.102];450.84658;0.29959;5.907;601.803;602.102;
0.2;78100000;601.92312;[601.823,602.023];450.81297;0.19997;13.141;601.823;602.023;
0.1;312300000;601.93951;[601.890,601.990];450.81597;0.10000;53.220;601.890;601.990;
0.09;385700000;601.99447;[601.949,602.039];450.84758;0.08999;63.936;601.949;602.039;
0.08;488000000;601.95892;[601.919,601.999];450.81786;0.08000;80.850;601.919;601.999;
0.07;637500000;602.01192;[601.977,602.047];450.84804;0.07000;105.788;601.977;602.047;
0.06;867600000;601.98473;[601.955,602.015];450.83638;0.06000;147.069;601.955;602.015;
0.05;1249300000;601.97310;[601.948,601.998];450.83130;0.05000;219.493;601.948;601.998;
Temps min [s];N generations;Aire estimee;IC;RC(N) * ET;largeur IC;Temps [s];IC inf;IC sup
1;5900000;601.78811;[601.424,602.152];450.64632;0.72727;1.000;601.424;602.152;
2;11600000;602.03329;[601.774,602.293];450.74111;0.51878;2.016;601.774;602.293;
4;23600000;602.08210;[601.900,602.264];450.86187;0.36381;4.004;601.900;602.264;
8;48000000;601.84245;[601.715,601.970];450.78704;0.25506;8.008;601.715;601.970;
16;95000000;602.03278;[601.942,602.123];450.84561;0.18132;16.002;601.942;602.123;
32;191800000;601.97847;[601.915,602.042];450.81739;0.12760;32.002;601.915;602.042;
64;380200000;601.99911;[601.954,602.044];450.82847;0.09063;64.012;601.954;602.044;
128;712300000;601.98141;[601.948,602.015];450.81263;0.06621;128.014;601.948;602.015;
256;1435400000;601.96767;[601.944,601.991];450.82910;0.04665;256.012;601.944;601.991;
512;3028600000;601.96820;[601.952,601.984];450.82485;0.03211;512.012;601.952;601.984;
1024;6106500000;601.97381;[601.963,601.985];450.82516;0.02262;1024.015;601.963;601.985;
Largeur max IC;N generations;Aire estimee;IC;RC(N) * ET;largeur IC;Temps [s];IC inf;IC sup
1;100000;601.86313;[601.370,602.356];79.55771;0.98621;0.015;601.370;602.356;
0.9;200000;601.91697;[601.570,602.264];79.22788;0.69446;0.063;601.570;602.264;
0.8;200000;601.85567;[601.508,602.203];79.24633;0.69462;0.047;601.508;602.203;
0.7;200000;601.79661;[601.449,602.144];79.35780;0.69560;0.062;601.449;602.144;
0.6;300000;602.04843;[601.766,602.331];79.04783;0.56574;0.078;601.766;602.331;
0.5;400000;601.75994;[601.514,602.006];79.29683;0.49149;0.110;601.514;602.006;
0.4;700000;601.95512;[601.770,602.141];79.21945;0.37117;0.187;601.770;602.141;
0.3;1100000;601.90533;[601.757,602.054];79.36545;0.29663;0.281;601.757;602.054;
0.2;2500000;601.89696;[601.799,601.995];79.35404;0.19674;0.657;601.799;601.995;
0.1;9700000;601.96603;[601.916,602.016];79.30099;0.09981;2.562;601.916;602.016;
0.09;12000000;601.95773;[601.913,602.003];79.29660;0.08973;3.188;601.913;602.003;
0.08;15200000;601.94194;[601.902,601.982];79.31202;0.07974;4.032;601.902;601.982;
0.07;19800000;601.94155;[601.907,601.976];79.29925;0.06986;5.234;601.907;601.976;
0.06;26900000;601.96145;[601.931,601.991];79.28079;0.05992;7.110;601.931;601.991;
0.05;38700000;601.96336;[601.938,601.988];79.31217;0.04998;10.262;601.938;601.988;
Temps min [s];N generations;Aire estimee;IC;RC(N) * ET;largeur IC;Temps [s];IC inf;IC sup
1;3600000;601.95608;[601.874,602.038];79.30804;0.16385;1.000;601.874;602.038;
2;7300000;601.98993;[601.932,602.047];79.29740;0.11505;2.016;601.932;602.047;
4;14900000;601.96597;[601.926,602.006];79.27510;0.08051;4.000;601.926;602.006;
8;30400000;601.97972;[601.952,602.008];79.29150;0.05637;8.001;601.952;602.008;
16;61300000;601.96757;[601.948,601.987];79.29188;0.03970;16.011;601.948;601.987;
32;121600000;601.96613;[601.952,601.980];79.29016;0.02819;32.011;601.952;601.980;
64;241500000;601.97398;[601.964,601.984];79.28433;0.02000;64.002;601.964;601.984;
128;480500000;601.97079;[601.964,601.978];79.29256;0.01418;128.006;601.964;601.978;
256;971800000;601.97064;[601.966,601.976];79.29196;0.00997;256.045;601.966;601.976;
512;1871300000;601.97294;[601.969,601.977];79.29049;0.00719;512.005;601.969;601.977;
1024;3614900000;601.97083;[601.968,601.973];79.29093;0.00517;1024.015;601.968;601.973;
Largeur max IC;N generations;Aire estimee;IC;RC(N) * ET;largeur IC;Temps [s];IC inf;IC sup
1;210000;601.98823;[601.608,602.368];88.78496;0.75948;0.049;601.608;602.368;
0.9;210000;602.05099;[601.670,602.432];89.15694;0.76266;0.050;601.670;602.432;
0.8;210000;601.79321;[601.411,602.176];89.40836;0.76481;0.040;601.411;602.176;
0.7;310000;602.14582;[601.833,602.459];88.84696;0.62553;0.069;601.833;602.459;
0.6;410000;601.68002;[601.407,601.953];89.22409;0.54623;0.094;601.407;601.953;
0.5;510000;601.97598;[601.733,602.219];88.66595;0.48670;0.119;601.733;602.219;
0.4;810000;601.93898;[601.745,602.133];88.92452;0.38732;0.177;601.745;602.133;
0.3;1410000;601.94432;[601.798,602.091];88.94671;0.29363;0.321;601.798;602.091;
0.2;3110000;601.96096;[601.862,602.060];88.96899;0.19776;0.699;601.862;602.060;
0.1;12210000;601.97977;[601.930,602.030];89.04135;0.09989;2.721;601.930;602.030;
0.09;15110000;601.94115;[601.896,601.986];89.06763;0.08982;3.357;601.896;601.986;
